id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a1001,P1,10000,4,1,1,1,1,1,1,1,1,1,2,2,5,6,1,1,1,1,1,1,1,2,3,3
a1002,P2,10000,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
a1003,P3,10000,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1
a1004,P4,10000,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
a1005,P5,10000,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
a1006,P6,10000,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
a1007,P7,10000,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
a1008,P8,10000,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a1009,P9,10000,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a1010,P10,10000,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a1011,P11,10000,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
a1012,P12,10000,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
a1013,P13,10000,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
a1014,P14,10000,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
a1015,P15,10000,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
a1016,P16,10000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
a1017,P17,10000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1
a1018,P18,10000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
a1019,P19,10000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
a1020,P20,10000,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
a1021,P21,10000,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
a1022,P22,10000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
a1031,M1,1,1,2,2,2,3,2,2,2,4,5,6,2,7,7,3,2,4,4,5,5,5,8,2,2
a1032,M2,1,2,1,1,3,4,1,1,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20
a1033,M3,10000,1,2,2,3,2,2,2,2,4,5,2,2,1,1,2,6,7,8,9,10,11,12,2,2
a1034,M4,1,1,4,1,5,3,6,7,8,9,10,11,2,12,13,3,14,15,16,17,18,19,20,21,22
a1035,M5,10000,1,3,2,4,1,2,2,5,6,2,1,1,1,7,1,2,8,9,2,2,10,1,1,1
a1036,M6,10000,4,5,2,6,1,2,2,2,2,2,3,3,7,8,1,2,2,2,2,2,2,3,3,3
a1037,M7,1,1,2,2,7,5,2,2,4,4,2,3,2/3,8,1,5,2,2,4,9,2,2,3,6,6
a1038,M8,10000,3,4,1,5,6,1,1,7,8,1,2,2,9,10,11,1,12,13,1,1,1,2,2,2
a1039,M9,1,1,3,5,6,8,7,7,10,11,12,4,9,1,1,13,15,10,11,12,12,12,19,9,9
a1040,M10,1,2,4,4,7,9,5,5,10,13,13,11,12,2,2,14,5,16,15,17,18,13,20,21,22
a1041,M11,1,1,2,1,3,1,1,1,1,1,1,2,2,1,4,1,1,1,1,1,1,1,5,2,2
a1042,M12,10000,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3
a1043,M13,10000,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2
a1044,M14,10000,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
a1045,M15,10000,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
a1,all,1,1,2,3,4,3,5,5,12,12,6,13,7,8/13,8/14,3,5,12,12,6,6,6,9,10,11
a2,and,1,1,2,3,4/17,5,6,6,7,7,8,9,10,1,1/18,11/19,6,12,13,14,15,8,6,16,10
a3,animal,1,1,2,3,4/21,5,6,7,8,9,10,11,12,13,14,5,15,16/22,17,10,10,10,18,19,20
a4,ashes,1,1,2,3,4,5/17,1,6,7,15,16,8,9,10,11,5/17,12,15,15,16,16,16,8,13,14
a5,at,1,1,2,3,4/16,5,6,7,8,8,9,10,9,11,12,5,13,8,14,9,9,9/17,15,9,9/18
