id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,2,2,2,2,2,2,6,3,8,2,2,2,3,6,3,6,2,2,2,2,2,2,2,2,0,2,2,5
mh1,mh1,50.0,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,1,5,2,2,5,2,5,2,5,5,5,5,2
mh2,mh2,50.0,1,1,16,0,0,16,0,5,16,0,16,16,0,0,0,16,0,16,6,14,14,13,0,7,0,0,0,0,12,0
mh3,mh3,50.0,1,1,1,2,2,10,2,1,1,1,1,1,2,2,1,1,1,1,2,8,8,2,0,2,2,0,7,0,0,2
mh4,mh4,50.0,1,1,1,4,4,1,4,1,1,1,1,1,10,4,1,1,1,1,4,4,4,4,4,5,7,5,5,5,5,7
mnh0,mnh0,50.0,1,1,10,1,1,10,1,1,10,1,12,10,1,1,1,10,1,10,1,9,9,1,8,1,9,1,1,1,1,9
mnh1,mnh1,50.0,1,1,1,1,1,1,1,2,1,2,1,1,16,1,3,1,2,13,1,1,1,6,1,8,1,6,6,6,6,10
mnh2,mnh2,50.0,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,4,2,2,4,10,5,8,5,5,5,5,8
mnh3,mnh3,50.0,1,1,1,2,2,1,2,2,1,4,15,12,2,2,4,13,4,1,6,5,5,6,5,7,5,7,7,7,7,5
mnh4,mnh4,50.0,1,1,21,3,3,23,28,3,25,3,21,22,3,3,3,25,3,25,15,11,11,12,11,12,11,13,14,14,13,19
mnh5,mnh5,50.0,1,1,1,1,1,1,1,1,1,1,12,10,1,1,1,1,1,1,1,7,7,4,6,1,6,1,1,1,1,6
mnh6,mnh6,50.0,1,1,12,8,3,12,2,2,12,2,12,12,2,2,2,12,2,12,3,3,3,3,3,3,3,3,3,3,3,6
mnh7,mnh7,50.0,1,1,2,2,2,16,2,2,2,2,2,15,2,2,2,2,2,2,2,2,2,2,2,5,2,5,5,5,5,10
mnh8,mnh8,50.0,1,1,1,3,3,1,13,1,1,1,1,1,3,3,1,1,1,10,3,3,3,5,3,6,8,5,5,5,5,8
mnh9,mnh9,50.0,1,1,2,2,2,2,2,2,8,2,10,2,2,2,2,9,2,8,4,4,4,4,7,4,4,4,4,4,4,4
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,13,1,1,5,5,5,6,1
mnh11,mnh11,50.0,1,1,13,17,17,13,17,13,13,16,13,19,17,17,16,13,16,13,17,17,17,17,17,17,17,17,17,17,17,17
mnh12,mnh12,50.0,1,1,1,1,6,23,1,2,1,2,1,23,1,1,2,1,5,1,6,10,10,6,6,6,18,8,8,8,9,18
mnh13,mnh13,50.0,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
mnh14,mnh14,50.0,1,1,15,1,1,1,1,1,1,1,1,1,1,12,1,1,3,1,6,1,1,6,1,6,1,6,6,6,6,1
lpsh0,lpsh0,1.0,1,1,1,1,1,0,1,1,1,1,1,0,0/1,1/11,1/2,12,1,13,3,1,1,0/3,10,0,0,0,0,0,4,0
lpsh1,lpsh1,1.0,1,1,10,0/1,1,10/11,0/1,1,10,1,10,10/11,1,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,3,8/9
lpsh2,lpsh2,1.0,0,0,0,0,0,0,0,0/5,16,0/4,0/16,0,0/15,14,0/4,17,0/4,17,0,0,0,7,0,7,0,0/7,0,0/7,7/8,0
lpsh3,lpsh3,1.0,1,1,2,3,3,2,3,3,2,9,2,2,3,16,9,2,9,2,0,3,3/13,0,0/3/14,0,3,0,0,0,0,3
lpsh4,lpsh4,1.0,1,1,1,2,2,1,2,1,1,1,0/1,1,2,2,1,9,1,9,0/2,2,2,2,7/8,2,5/6,2,2,2,2,5
lpsh5,lpsh5,1.0,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,7,1,7,4,2,2,0,2,0,2,0,0,0/6,0,2
lpsh6,lpsh6,1.0,0/1,1,1,2,2,1,2/23,1,20,6,1,1,2,18,6,20,6,20/21,8,8,8,8,8,8,8,9,9,9,10,15
lpsh7,lpsh7,1.0,1,1,1,1,1,1,1,1,1,0/1,1,1,1,1,0,1,0,0/10,1,1,1,3,1,3,1,6,0/7,6,6,1
lpsnh0,lpsnh0,1.0,1,1,1,2,2,1,2,1,1,1,1/10,1,2,2,1,1,1,1,2/5,2,2,8,2,8,2,8,8,8,8,2
lpsnh1,lpsnh1,1.0,1,1,17,10,10,17,10,6,17,6,17,17,10,10,6,17/19,6,17,10,11,11,10,13,10,10,10,10,10,10,10
lpsnh2,lpsnh2,1.0,1,1,1,2,2/3,1,2,2,14,2,14,1,2,2,2,14,2,15,6,2,2,6,12,6,2,6/7,7,7,7,11
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,12,4,1,1,5,10,7,9,7,8,8,7,9
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1/11,1,1,1/7,8,8,1/3,8,3/5,8,3/5,5,5,3/5/6,8
lpsnh5,lpsnh5,1.0,1,1,5,6,6,5,6,6,5,6,5,5,6,6,6,5,6,5,10,6/11,6,10,6,10,6,10,10,10,10,6
lpsnh6,lpsnh6,1.0,1,1,2/13,1,1,2,1,1,2,1,2/13,2,1,1,1,2,1,2,1,5,5,1,5,1,5,4,4,4,4,8/12
lpsnh7,lpsnh7,1.0,1,1/2,2,2,2,2,2/22,2,2/19/20,2,2/21,2,2,2,2,2/19/20,2,20,4,2,2,9,16/2,9,2,9,9/14,9,9,2/15
lpsnh8,lpsnh8,1.0,1,1,4/12,4,4/6,12,4,4,12/13,4,12/13/15,12,4,4,4,12/14,4,12/14,6,6,6,6,11,6,6,6,6,6,6,6
lpsnh9,lpsnh9,1.0,1,1,19,6,6,19,6,5,19,5,19,19,25,6/14,5,19,5,19,9,12/13,12/13,9,12,9,12,9,9,9,9,12
lpsnh10,lpsnh10,1.0,1,1,1/19,1,1,1/19,1,1,1,1/2,1,1,1,1,2,1,2,20,3,3,3,3,17,3,3,3,3,3,3/6,9/10
lpsnh11,lpsnh11,1.0,1,1,3,5,5,3,5,5,3,5,3,14,5,10,5,17,5/7,17,5,5,5,5,5,5/9,5,9,9,9,5/9,5
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,1,4,1,4,1,1,1,1,4,1,4,1,1,1/10,1/10,6,1,6,1,6,6,6,6,1
lpsnh13,lpsnh13,1.0,1,1,1,4,4,1,4,1,1,3,1,1,4,4,3,1,3,15,4/7,10,10,8,4,8,10,8,8,8,8/9,10
lpsnh14,lpsnh14,1.0,1,1,16/4/15,4/14,4,16/15,14,4,16,4/7,15,15,14,4,4,4,6,16/4,4,4,4,4,4,4,4,4,4,4,11,4
lpsnh15,lpsnh15,1.0,1,1,1,1,1,1,1/15,1/2,1,1/2,1,1,1,1/11,1,1,1/2,12/13,1,5,5,1,5,1,6,1,1,1,1,9/10
lpsnh16,lpsnh16,1.0,1,1,1,4,4,12,4,1,1,1/3,1,1,4,4,1,1,1,1,8,4,4,5,10,5,4,5,5/7,5,5,9
lpsnh17,lpsnh17,1.0,1,2,32/2,5,5,32,5,4/5,32,5,32,32,39,30,5,32/33,5,34,6,6,6,6,6,6,6,6,6,6,6,6
lpsnh18,lpsnh18,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1/5,1,1,6/11,6/11,1,18/19,1/8,13,1,1,1,1,15
lpsnh19,lpsnh19,1.0,1,1,2,1,1,2,1,1/2,2,1/2,18,2,1,1,1/2,2/15,2,2,6,1,1,6,1,6,1,6,6/11,6,6,14
lpsnh20,lpsnh20,1.0,1,1,11,1,1,11,1,1,11,1,11,15,1,1,1,11,1,11,1/3,6,6,3,10,3/4,6,3/4,4,4/5,4,6
lpsnh21,lpsnh21,1.0,1,1,1,3,3,1,3,3,1,3,11,1,3/12,3,3/4/5,1,4,1/10,3,3/9,3/9,3,3,3,3,3,7,3,8,3
lpsnh22,lpsnh22,1.0,1,1,1,1/14,1,1,1/14,1,21,2,1/22,1,14,1,2,16,2,16,3,9,9,3,13,3,9,5,5,5,3,10
lpsnh23,lpsnh23,1.0,1,1/2,7,1,4,7,1,3,7,3,7,7,1,1,3,7,3,7,4,4,4,4,4,4,4,4,4,4,4,4
lpsnh24,lpsnh24,1.0,1,1,1,1,1,1,1/17,3,1,3,1,1/12,1,1,3,1,3,16,1,1,1,5/7,1,5/6,1,5,5,5,5,1
lpsnh25,lpsnh25,1.0,1,1,3,3,3,3,3,3,3,3,3,3,15,3,3,3,3,3,3,3,3,11,3,11/13,3,11,11,11,11/13,3
lpsnh26,lpsnh26,1.0,1,1,1,6,6,1,6,2,1,2,1,14,6,13,4,1/15,2,1,8,7,7,8,6/12,8,7,8,9,8,8,10
lpsnh27,lpsnh27,1.0,1/23,1,17,16/12,12,17,16/12,12,17,12,17/22,17/19,16/12,12,12/13,17,12,17,12,12,12,12,12,12,15,12,12,12,12,12
lpsnh28,lpsnh28,1.0,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2/7,2/7,2,2,2,8,2/5,6,2,2,2
lpsnh29,lpsnh29,1.0,1,1,1,1,1,1,1,1,1,1,1,1/12,1,1,1,1,2,1,3/9,3,3,3/5,10,3,3,3,3,3,3,3
