id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,8,0,0,0,3,1,3,0,0,0,28,32,23,15,15,0,4,20,32,0,0,3,0,0,0,0,0,37
mh1,mh1,50.0,1,1,1,1,3,1,1,4,1,14,1,0,1,1,32,25,26,17,1,0,1,8,13,19,22,22,22,24,30,1
mh2,mh2,50.0,2,34,1,2,9,2,2,10,2,11,1,1,0,1,0,1,24,0,2,25,28,11,11,2,1,1,1,1,1,29
mh3,mh3,50.0,2,1,1,2,6,2,10,0,10,2,1,1,1,35,25,1,1,2,13,1,31,2,8,10,1,1,1,1,1,34
mh4,mh4,50.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,2,5,0,12,12,13,11,0,22
mnh0,mnh0,50.0,23,1,24,22,3,22,1,3,1,1,42,24,44,33,33,1,1,1,18,41,33,1,9,1,24,24,24,26,42,33
mnh1,mnh1,50.0,3,1,19,4,3,18,14,3,14,9,1,19,1,1,1,22,22,9,17,1,23,9,13,17,19,19,19,19,1,1
mnh2,mnh2,50.0,1,1,14,1,2,1,1,2,1,7,24,15,26,23,24,21,21,11,1,24,29,8,7,1,18,18,18,15,24,29
mnh3,mnh3,50.0,1,46,30,5,1,29,24,1,24,5,1,34,1,45,1,1,39,22,26,1,1,14,15,24,32,32,33,32,1,43
mnh4,mnh4,50.0,4,1,28,4,12,22,13,11,13,13,1,30,53,56,37,28,35,17,20,1,56,13,13,13,30,30,30,30,1,56
mnh5,mnh5,50.0,1,31,1,1,1,1,7,1,7,1,1,1,29,1,1,22,26,3,8,1,1,1,1,7,11,12,1,21,28,1
mnh6,mnh6,50.0,1,1,1,82,1,82,84,81,84,83,1,92,1,99,1,94,94,83,84,1,98,83,83,84,1,89,90,93,96,1
mnh7,mnh7,50.0,1,1,1,1,2,1,1,2,1,3,21,19,27,29,26,1,1,9,12,21,32,3,7,1,15,15,15,1,21,29
mnh8,mnh8,50.0,1,1,20,1,5,1,1,2,1,1,1,31,47,1,1,38,38,1,16,1,52,1,11,1,25,25,25,27,1,53
mnh9,mnh9,50.0,3,34,17,16,4,3,3,4,3,3,34,21,34,40,35,25,30,13,3,34,44,11,11,3,19,19,18,20,34,40
mnh10,mnh10,50.0,4,1,1,4,33,4,4,33,4,41,61,1,67,70,61,1,1,52,55,61,73,42,47,4,1,1,1,1,65,76
mnh11,mnh11,50.0,1,1,1,19,2,1,18,6,1,1,1,23,33,39,1,27,27,13,16,31,38,1,1,1,20,20,21,23,1,38
mnh12,mnh12,50.0,1,1,1,1,1,8,1,1,4,1,1,14,16,19,1,1,1,1,4,1,19,3,1,5,11,11,12,13,1,19
mnh13,mnh13,50.0,1,18,1,1,1,1,1,1,1,3,20,15,29,18,24,1,1,3,12,21,18,3,3,5,1,1,14,15,20,30
mnh14,mnh14,50.0,2,1,26,5,4,24,5,4,5,5,41,26,43,44,42,26,33,21,5,39,44,15,18,5,28,26,26,29,39,47
lpsh0,lpsh0,1.0,1,0,24,1,1,23,0,3,0,5,0,0/32,46,45,46,36,38/43,17,0,46,45,5/6,5,0/22,29,29,0,0,0,48
lpsh1,lpsh1,1.0,2,1,1,2,0/2/4,2,2,2,2,7,1,0,1,1,1,27,1,7,11,1,1,0,0,11/14,1,1/20,21,1,1,1
lpsh2,lpsh2,1.0,1,1,20,1,0,1,14,0,14,1,1,22,27,46,1,20,20,1/7,16/19,24,45,3/4,1,14,20,20,20,20/22,25,37
lpsh3,lpsh3,1.0,1,1,0,16/4,1,4,0/4,1,4/11,0,20,17,33/34,36,32/20,17,17,8,4,31,36,0,0,4,17,17,17,17,20,36
lpsh4,lpsh4,1.0,1,41,31,26,1,1/2,1,1/4,22/23,1,41,1,41,0,44,38/40,38,19,24,41,50,5,18,1,1,1/33,1,1/35,41,0
lpsh5,lpsh5,1.0,2,23/24/25,2,2,2,18,2,3,2,0/7,24,2,32/29,33/24,26/27,2,22,0,17,24,34,8,0,2/11/12,2,2,2/20,2,24,24
lpsh6,lpsh6,1.0,1,1,8,6,1,7,1,1,1,3,16,1,1,0,1,14,15,3,1,1,21,4,4,1,1,1,9,1,1,21
lpsh7,lpsh7,1.0,1/2,32,14,6,3,6,6,3/5,6,6/8,36,19,50/51,35,50,26,28,6,12,47,52,0,6,0,20,20,20,19/25,36,53/55
lpsnh0,lpsnh0,1.0,1,1,1,1,2,1,26,2,26,1,1/36,1,1,1,1,1,1,24,26,1,1,1,1,26,29,29,30,1,1,1
