id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,1,1,0,1,1,1,1,1,1,1,1
mh1,mh1,50.0,1,1,1,13,3,1,1,1,3,1,3,5,7,5,12,6,5,9,5,9,12,12,9,12,9,9,10,9,12,12
mh2,mh2,50.0,1,1,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mh3,mh3,50.0,1,1,0,0,0,0,2,2,0,3,0,7,0,7,0,7,0,10,0,10,15,15,10,15,10,10,10,10,15,15
mh4,mh4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,4,3,4,3,6,4,3,6,3,3,3,3,6,6
mnh0,mnh0,50.0,1,1,1,3,3,2,2,2,3,2,3,5,5,5,5,6,21,19,5,12,5,5,15,5,5,22,10,5,5,5
mnh1,mnh1,50.0,1,1,1,1,2,1,1,1,3,1,3,3,3,3,10,3,3,5,3,5,10,10,5,10,5,5,5,5,10,10
mnh2,mnh2,50.0,1,1,1,5,5,1,1,1,5,1,10,5,5,5,5,5,5,5,5,6,12,12,7,12,5,5,6,5,12,12
mnh3,mnh3,50.0,2,1,2,2,2,6,6,6,2,6,15,2,2,2,20,2,2,2,2,2,19,19,2,19,2,2,2,2,19,19
mnh4,mnh4,50.0,1,17,1,14,1,1,1,1,1,1,12,6,4,6,4,6,4,4,4,4,4,4,4,19,10,10,4,10,4,4
mnh5,mnh5,50.0,1,17,1,2,15,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,11,5,5,5,10,5,5,5
mnh6,mnh6,50.0,1,1,2,2,2,2,2,2,3,2,3,5,3,5,3,5,3,7,3,7,13,13,7,13,7,7,7,7,13,13
mnh7,mnh7,50.0,1,1,1,2,2,1,1,1,2,1,15,2,2,2,7,2,2,2,2,2,16,16,2,16,2,2,2,2,16,16
mnh8,mnh8,50.0,1,1,1,10,1,1,1,1,1,1,1,2,5,2,1,3,1,9,1,7,1,1,7,1,1,1,7,1,1,1
mnh9,mnh9,50.0,1,1,1,1,1,1,2,2,1,2,1,1,1,1,4,1,4,4,4,4,4,4,4,4,4,7,4,4,4,4
mnh10,mnh10,50.0,1,1,1,1,1,2,2,2,1,2,19,5,1,5,12,5,1,1,1,1,22,22,1,22,1,1,8,1,22,22
mnh11,mnh11,50.0,1,25,1,1,21,4,4,4,1,4,1,5,13,1,1,1,1,1,1,18,1,26,1,1,1,31,1,19,1,1
mnh12,mnh12,50.0,1,1,1,1,1,2,2,4,1,6,1,1,1,1,1,1,21,19,21,15,1,28,15,1,14,27,16,17,1,1
mnh13,mnh13,50.0,1,1,3,3,3,3,4,4,9,4,3,3,3,3,3,3,3,3,8,3,10,10,3,10,3,11,3,3,10,10
mnh14,mnh14,50.0,1,1,2,2,2,4,4,4,20,4,21,6,2,6,2,9,2,2,2,2,2,2,2,2,2,2,10,17,2,2
lpsh0,lpsh0,1.0,0,0,1,1,1,1,1,1/2,1,4,1,1,0,1,13,1,13,1,13,1,13,13,1,13,1,1,1,0,13,13
lpsh1,lpsh1,1.0,1,18,1,1,1,1,1,1,1,4,17,1,1,6,0/1/12,6,1,8,1,8,0,0,9,0,8,8,8,10,20/21,0/22
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,1,1,1,16,3,1/4,3,1,3,1,1,1,1,17/18,1,1,18,10,6,1,13,17/18,18
lpsnh1,lpsnh1,1.0,1,1,1,1/15,1,2,2,2,1,2,12,1,9,6,1,8,1,1,1,1,1/17,1,1,1,1,1,1,1,17,1
lpsnh2,lpsnh2,1.0,1/2,1,1,12,11,4,4,4,1,4,1,1,1,1,1,1,1,10,1,1,1,1,1,1,6,1,1/5,1,15,1
lpsnh3,lpsnh3,1.0,1,1,1,4,4,1/3,1/3,1/3,1/5,1,1,6,6,6,17/6,6,6,6,6,10/12,6,6,9,6,9,15,11,9,6,6
lpsnh4,lpsnh4,1.0,1,1,1,4,4,1,1,1/2,4,1,4,5/7/8,5,5,5,5,16,5/15,16,5,5,5,5,19,14,14,10,14,5,5
lpsnh5,lpsnh5,1.0,1,26,1/2,2,22,1/2,2,2,5,2,16,5,5/8,5/7,15,7,15,8/14,5,8,15,15,8,15,8,8/12/13,8,8,27,15
lpsnh6,lpsnh6,1.0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1/2,1,1,1,1,1,1,1,1,1,1,1,4,1,1
lpsnh7,lpsnh7,1.0,2,1,1/2,11,6,2/3/4,5,4/5,2,4,2,2,2,8,14,8,2,9,2,9,15,15,9,15,2,9,9,2,15,15
lpsnh8,lpsnh8,1.0,1,24,1/2,4,6,2,2,2,6,2,6,9,9,9,9,12,9,20/9,9,16/17/18,9/25,9/25/26,19,9,9,9,9,9,25,9/25
lpsnh9,lpsnh9,1.0,1,1,1,7,1,2,2,2/4,7,5/6,1/7,10,1,10/12,1,10,1,1,18,1,1,1,1,1,1/14,1,1,14,1,1
lpsnh10,lpsnh10,1.0,1,1/10,1,1/9,1,1,1,1,1,1/3,1,1,1/5,1,1,1,1,1,1,1,1,1,1,1,6/7,6,1,6,1,1
lpsnh11,lpsnh11,1.0,1/2,1,2,2,5,2,2,2,5,3/4,24,5,5,5,19,5,19,5,19/21,5,27,27,5,27,15,15,5,15,27,27
lpsnh12,lpsnh12,1.0,1,1,1,3,4,1,1,1,4,1,18/20,5/6,4,5/6/7,13,5,4,4,4,4,13,13,4,13,8,11,4,4,13,13
lpsnh13,lpsnh13,1.0,1,1,1,17/18,1,1/4,1,1,1/15,1,1,1,8/9,1/6/7,1,6,1,1,1,1,24,24,1,24,1,13,10,12,24,24
lpmh0,lpmh0,1.0,5/6,1,5,5,0,5,5,5,5,5,5,5,0,5/8,25,8,0,11,0,13,0,24,11,0,0,16,11,0,0,0
lpmh1,lpmh1,1.0,1,1,1,1,31,1,1,1/3,6,4/5,6,10,7,11,27,11,32,0/12,26,0,27,35,13,27,12,12,13,25,27,27
lpmnh0,lpmnh0,1.0,1/2/40,1/43,1/2,2,8,2,2/4/5,2,39/8,6,8,22,21,22,50,22,34,21,36/37/38,21,34,49,26/27,48,21,21,25,21,46,34
lpmnh1,lpmnh1,1.0,1/2,24,2,2/22,2,4,4,4,10,4,2,11,14,11,10,11,10/26,10,10,10,29,29,10,29,18,34/10,10,20,29,29
lpmnh2,lpmnh2,1.0,2,1,2,2,32/2,5,12/13,12/13/14,2/28,12,31,20,2,20,25,20,27,2,27,2,25,25,2,25,2,2,2,2,25,25
lpmnh3,lpmnh3,1.0,1,1,1,1,1,13,13,13/14,38/39,13/15,42,18,1/20,18,20,18,20,22,35/20/36/37,22,46,20,22,46,24,34,22,33,46,46
lpmnh4,lpmnh4,1.0,1,1/28,1/2,27,5,4,4,4,5,4,5,10,5,12,31,13,5,5,5,5,5,22,5,5/29,22/24,22,15,22/25,5,5
lpmnh5,lpmnh5,1.0,1/15,1/17,1,13,1,1,2,2,1,2/3,1,5,1/7/8,5,1/23,5,1,1/11/12,1,1,1/19,1,1,1,1,1/24,9,1,19/21,1/19/22
lpmnh6,lpmnh6,1.0,1,1,1,2,3/4,1,1,1,3,1,24,9,6,10,23/31,10,23,11,23,12,25,25,12,29,11,20,12,11,25,25
lpmnh7,lpmnh7,1.0,1,1,1,5,5,3,4,3,5,3,5,7,12/13,7,14,11,14,14,23,17,14,30,16,14,14,14,16,22,14,14
lpmnh8,lpmnh8,1.0,1,1,2,33/34,2,16,15,15,2,15,2,2,22/23,2,2,21,2,2,31,2,2,37,2,2,27/28,39/27,25,29,2,2
lpmnh9,lpmnh9,1.0,1,33,2,2/7,32/31,5/6,5,5,2/28,5,29/30,11,11,11,24,11,24,15,26,18,24,24,18/15,24,20,15,18,22,24,24
lpmnh10,lpmnh10,1.0,2,23,2,2/22,2,3,2/4,2/4,2,2,2,6/7,2,6,21,2/6,24/26,2,21,2,21,27,19,21/27,2/20,30,14,2,28,21
lpmnh11,lpmnh11,1.0,1,28,1,1,26,1,1,1,1,1,1,1/4,7,1,1,6,19,18,25,12,1,1,14/15,1,1,1/31,11,17,1,1
lpmnh12,lpmnh12,1.0,1,38,1,1/33,1,14,14,14,30,16/14,1,20,20,20,28,20,29,20,29,20,48,48,25,48,26,20,20/24,27,48,48
lpmnh13,lpmnh13,1.0,1,1,1/2/3,32,6,1,1,1,6,4,29,6,9,6,6,6,6,6,6/11,6/10,6,6,6,6,6,6/38,6,6,37,6
lphh0,lphh0,1.0,0,0,0,40/42,10,2,0,0,10,8,0/38/39,13,18,13,20,16,20/43,0,20,26,48,48,23,48,32,50/51,23,32,48,48
lphh1,lphh1,1.0,1,0,1,1,1,2,0/4,4,6,4,39,6,16,0,0/54,8,32,30,0,0,49/52,49,28,52,0,55,0,0,52,49/52
lphnh0,lphnh0,1.0,1,1/54,1/2,53,13,6,6,6,51/13,11,13,23,21/31,24,21/62,26,21,47,21,21,55,21,33,55/61,36,44,21,42,55,55/60
lphnh1,lphnh1,1.0,81,1,1,80,1,4,4,4/8,77,4,78,18,10,15,67,20,73,66,75,10,87/88,87,35,87,22,22,28,64,89,87
lphnh2,lphnh2,1.0,1,65,4,64,4,16,16,16,4,21,63,4,30,4,54,4,66,46,55/56,4,67,4/58,35,67,36,70,4,43,67,67
lphnh3,lphnh3,1.0,1,1,8,17,17,10,15,15,17,15,49,17,26,17,17,17,17,17,17,30,57,63,30,57,42,62,30,43,57,57
lphnh4,lphnh4,1.0,2,1/76,2,74,2/13,2,7,5,15,9,73,22,19,23,67/72,26,72,61,72,29,82,86,40,82,51,92,29,55,82,82/84
lphnh5,lphnh5,1.0,1,51,1,49,46,3,3,3/6,1,29,1,35/36,35,35,53,37,35,41,35,42,52,35,41,35,41/44,54,41,41,52,35
lphnh6,lphnh6,1.0,3,1/76,2/3,3,3,2,7,7,69,7,70/72/73,22,30,22,22,29,66,62,67,22,77,77,22,77,35,80/79,22,57,77,77
lphnh7,lphnh7,1.0,4,1,4,4,4,8,8,8/10,4,10,4,16,28,16,52,18,54,29,52,30,65/61,61,35,61,39,29,30,43,61,65/61
lphnh8,lphnh8,1.0,2,65,4,4,26,4/5,10,10,49/51,22/25,56,39,39,40,47,40,67,39/44,47,41,72,69/78,41,72,39,77,41,39,72/74/75,69
lphnh9,lphnh9,1.0,1,88/89,4,4/87,4,6,11,11,4,11,85,16,16,16,81,21,81,78,82,45,93,93,65,93,16/68,69,49/51/53,68,93,93
lphnh10,lphnh10,1.0,1,67/70,1,65/62,61,12,19,19,22,20,59,25,22,25,48,25,51,27,51,30/31,78,78,30,78,34,34,30,47,78,78
lphnh11,lphnh11,1.0,1,61,1,1,1,1,1,1,1,5,1,1,14,10/11,68,12,62,55,59,16,64,64,27/28,1,30,1,20,51,64,64
lphnh12,lphnh12,1.0,33,1,3,3,29,4,4,4,3,4,3,12/13,12,17,40/41/12,17,12,12,27/12/28,19/12,35,35/25,12,35,12,42/43,12,24,35,35
lphnh13,lphnh13,1.0,2,1,2/3,58,2,5,5,5/6,2,9,2,2,2/15,11/14,36,11,36,16,38,23,62,63,23,36,29,67,23/25,31,62,62
