id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,12,13,1,12,12,12,12,12,1,0,1,1,1,1,1,12,0,1,12,12,0,1,1,1,9,12,12,15
mh1,mh1,50.0,0,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,22,15,6,0,21,6,6,6,6,6,0,0,6
mh2,mh2,50.0,0,4,15,0,7,21,15,15,15,22,10,7,0,0,9,0,9,15,10,9,15,0,7,0,0,0,0,15,15,0
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,7,0,11,1,1,1,1,0,1,0,1
mh4,mh4,50.0,1,1,1,1,1,1,10,1,10,1,1,1,1,1,5,1,1,8,1,5,10,1,1,1,1,1,1,10,10,1
mnh0,mnh0,50.0,2,1,1,1,3,1,1,1,1,1,4,15,6,6,1,6,1,1,1,1,1,11,14,6,6,6,5,1,1,12
mnh1,mnh1,50.0,1,2,2,2,2,2,2,2,25,29,2,2,2,2,2,2,2,2,2,2,27,22,2,2,2,2,11,25,27,29
mnh2,mnh2,50.0,1,1,1,1,3,11,16,11,16,11,1,1,1,1,1,1,1,11,1,1,16,13,24,1,7,1,8,16,16,19
mnh3,mnh3,50.0,1,5,5,25,5,58,5,5,5,58,12,5,5,18,12,18,12,31,12,12,37,29,5,16,18,18,24,5,37,58
mnh4,mnh4,50.0,2,4,4,18,4,4,4,4,4,4,4,21,4,4,11,4,11,4,15,11,4,4,21,4,24,4,17,4,4,4
mnh5,mnh5,50.0,4,1,1,1,6,17,17,17,17,17,1,1,14,14,1,14,8,19,1,1,17,18,29,14,31,14,1,17,17,28
mnh6,mnh6,50.0,2,9,9,9,9,29,24,9,26,29,9,9,9,15,13,9,9,9,9,13,24,9,32,9,9,9,20,26,28,29
mnh7,mnh7,50.0,2,1,19,19,1,20,20,20,20,29,9,1,1,1,9,26,12,20,9,9,20,20,30,1,21,24,16,20,20,20
mnh8,mnh8,50.0,1,3,11,10,3,11,11,11,11,11,3,23,3,3,3,3,3,11,3,3,17,13,24,6,3,3,9,11,11,20
mnh9,mnh9,50.0,1,1,1,8,1,1,1,10,15,1,5,1,1,1,1,1,1,14,4,1,15,13,1,1,1,1,1,15,25,1
mnh10,mnh10,50.0,1,4,1,1,7,1,1,1,1,1,11,7,1,1,9,21,9,1,9,9,1,1,7,1,1,21,20,1,1,1
mnh11,mnh11,50.0,4,8,8,8,9,17,17,17,17,17,11,38,15,15,8,15,10,17,11,8,17,29,38,15,15,15,8,17,17,35
mnh12,mnh12,50.0,1,2,2,14,2,2,2,2,2,2,4,2,2,7,2,2,2,17,3,2,2,2,23,2,7,2,12,2,2,22
mnh13,mnh13,50.0,1,3,2,2,2,2,2,2,2,2,2,2,5,6,2,2,4,14,2,2,2,13,2,2,2,2,11,2,2,2
mnh14,mnh14,50.0,1,4,22,17,4,22,22,22,22,22,5,4,11,11,5,11,5,22,5,5,30,25,52,13,24,11,4,22,30,34
lpsh0,lpsh0,1.0,18,21,21,36,23/24/25,44,21,21,37/38,21,21,21,31,31,27,31,21,21,21,27/29,38,21,21,31,31,31,0,42,38,21
lpsh1,lpsh1,1.0,1,7,21/7,20,11,7,7,22/7,0,7,7,11,19,7,7,54/7,7,7,17,12,50,22/23,11,0,7,7,7,48,50,53
lpsh2,lpsh2,1.0,1,1,1,1,1,10,0,1,0,10,1,1,1,1,1/3,1,1,1,1/6,1,9,0,0,0,1,1,1,0/7,9,10
lpsh3,lpsh3,1.0,0/4,1,1,1,1,1,1,1,1,1,0/12,1,1,15,0,1,7,1,0,9/10,17,0,1,1,1,21,1,1,1,1
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,1,1,1,8/9,27,1,12,1/7,1,1,1,1,1,26,1,28,1,1,1,16/18,1,1,1
lpsnh1,lpsnh1,1.0,1,1,1,1,16,1/49/43,46/47,43,47,1/49/43,1,16/50,1,1/23/24,1/19,23/24,1,43,21,1/19,47,44/45,16,23/24/25,1,23/24,40/41,46/47,46/47,1/49/43
lpsnh2,lpsnh2,1.0,1,1,1,1,5,29,1,1/20,1/22/23/24,29,8,34,11,11,7,11,7,20,8,7,26,1,36,12,11,37/11,18,1/22,26,29
lpsnh3,lpsnh3,1.0,1,1,8,8,2,8,8,13,8,8,4,2,1,1,4,1,4,13,6,4,8,13,2,1,1/9/10,1,1,8,8,16
lpsnh4,lpsnh4,1.0,1,1,1,1,3,1/10,10,10,10,1/18,1,19,1,1,1,1,1,10,1,1,10,15,26,1,1,1,9,10,10,1
lpsnh5,lpsnh5,1.0,5,7,7,7,9,7,7,7,29,7,8,57,15,21,6,15,6/11,7,12,6,29,24,57,15,15,15,6,29,29,7
lpsnh6,lpsnh6,1.0,1,2,2,2,3,2,2/28,2/19,2,2,2,3,13,15,2,32/15,8,21,2,2,2/27,20,3,16,15,15,17,22/25,2/27,29
lpsnh7,lpsnh7,1.0,1,1,1,1,1,1,1,10,11,1,1,27,5,5,3,5,3,10,1,3,16/15,10,27,5,8,5,1,1/11,1/11,1
lpsnh8,lpsnh8,1.0,2,3,3/19,3,3,3,3,21,3,33,3,3/35/36,17,18/14,3,14,3,24,9,3,26,20,3,14,14,14,3,25,26,3
lpsnh9,lpsnh9,1.0,1,2,2,2,3,2/14,2,2,12,2/22,2,24,5,5,2,10,2,2,2,2,2,11,25,5,5,10,2,13,2,19
lpsnh10,lpsnh10,1.0,1,3,3,3,3,3,3,19,3,3,3,24,3,14,5,14,9,18/3/19,3,5,21,19,29,14,14,17/14,15,3/20,21,3
lpsnh11,lpsnh11,1.0,1,1,1,1/33,1,36,36,36,36,36,2,43,1,1,2,8,2,36,2/4,3,36,36/40,47,1,1,8,31,36,41,36
lpsnh12,lpsnh12,1.0,1,1,16,1,4,32,16,26,16,32,5/6,38,8,8,5,8,5,16/28,6,5,31,16/18/20,36,10/11,8,8,14,30,31,34
lpsnh13,lpsnh13,1.0,1/2,1,1,1,3,25,16/17/15,14,18/19,25,5,3/28,7,8,1,7,1,14,6,1,20/21,14,31,7,9,7,7,19,23,26
lpsnh14,lpsnh14,1.0,1,3/6,3,3,3,12,12,12,19/12,20,3,3,3,3,3/9,3,3,12,3,9,12,12,3,3,3,16/3,3,12,12,12
lpsnh15,lpsnh15,1.0,1,1,1,1,3,28,23,1,23,28,1/6,32/34,1,9,1,9/11/12,1,1,1,1,26,18/21,1,9,9,9/12,1,24,27,29
lpsnh16,lpsnh16,1.0,1,1,1,1,1,15,1,1,1,15,1/3,1,6,1,1,1/11,1,1,1,1,1,13,1/22,1,1,1/11,8,1,14,19
lpsnh17,lpsnh17,1.0,1,1/2,1,1,1,1,11,1,11,1,1,24/30/31,1,1,4,1,4,9,1,4,13/14,1,24,1,1,1,1,11,11,20
lpsnh18,lpsnh18,1.0,1,1,1,1,1,34,34,34,34,34,5,37,13,15,7,8,7,34,5,7,34,34,37,8,15,8,33,34,34,34
lpsnh19,lpsnh19,1.0,1,4,4,4,4,4,4,4,4,4,4,4,11,11,8,11,4,4,4,8,25/26,24,28,11,11/12,11,14,4,4,4
lpsnh20,lpsnh20,1.0,1,1/2,1,1,3,20,1,1,1,20,6,3,1,10,4,1,4/5,18,6,4,1,1,22,1,1,1,14,1,1,20
lpsnh21,lpsnh21,1.0,2,1/3,1,1,1,1,1,13,1,1,1,1/22,1,1,1,8,1,13,1,1,1,13,22,1,1/8,8,1,1,1,19
lpsnh22,lpsnh22,1.0,2,1,17/18,17,7,7,17,17,17,24,10,25,1/5,13,10,1/5,10,17,11,10,20,17,25,12,27,1/5,16/1,17,22,7
lpsnh23,lpsnh23,1.0,1,1,1,1,5,1,1,1,1,1,1/9,6,1,1,1/7,1,1,1,1,1,1,1,6,1,1,1,1,28,1,34
lpsnh24,lpsnh24,1.0,1/2,5,5,5,5,5/27,25,25/27,25,5,12,33/31,20/8,21/8,12,21,12,27,19,12,25,27,31,21,8,21,24,25,25,30
lpsnh25,lpsnh25,1.0,1/2/3,1,16/1,1,1,16,16,17,16,16,1,27,1,1/14,5,1,1,18,9,5,22/23,16,28,11,1,1,1,16,22/23,16
