id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,10,6,1,6,9,1,9,6,14,10,23,1,20,1,1,6,9,14,1,6,0,9,11,11,0,10,18,28
mh1,mh1,50.0,12,0,13,0,0,11,10,0,10,1,0,0,24,0,0,0,19,6,10,20,0,1,1,10,16,16,16,0,0,31
mh2,mh2,50.0,1,1,1,0,2,0,5,1,5,1,1,9,1,1,1,1,1,1,5,10,1,1,1,5,1,1,8,1,1,21
mh3,mh3,50.0,2,34,14,0,2,10,2,2,2,2,1,17,30,31,1,26,26,2,5,28,31,2,2,0,20,20,20,17,0,31
mh4,mh4,50.0,1,14,1,1,3,1,0,3,1,1,0,1,17,18,16,12,11,1,8,0,0,4,5,1,1,1,1,1,0,0
mnh0,mnh0,50.0,1,60,17,1,1,1,16,1,13,11,49,27,49,48,49,17,44,12,14,49,55,3,6,14,27,27,29,34,51,56
mnh1,mnh1,50.0,1,1,1,1,1,1,1,4,1,20,1,1,1,1,1,1,40,22,1,1,46,9,18,1,30,30,34,37,1,48
mnh2,mnh2,50.0,1,1,1,14,2,4,4,3,4,4,1,15,1,62,1,27,27,4,4,1,64,4,6,4,18,18,22,15,54,64
mnh3,mnh3,50.0,1,24,1,1,1,1,1,3,1,8,24,1,24,24,43,22,22,12,1,37,24,10,10,15,17,20,1,21,24,24
mnh4,mnh4,50.0,1,27,15,6,1,6,13,1,13,9,30,1,39,27,30,19,19,9,13,35,27,9,9,13,16,16,16,1,30,27
mnh5,mnh5,50.0,2,1,1,2,6,2,2,2,2,2,34,28,36,43,35,29,29,2,2,1,42,2,2,9,15,15,26,1,33,1
mnh6,mnh6,50.0,1,1,1,24,1,24,16,2,16,1,1,1,39,1,36,1,1,8,23,32,1,1,5,16,1,1,1,1,33,1
mnh7,mnh7,50.0,1,1,1,1,1,1,1,1,1,1,16,8,16,26,20,11,12,1,1,16,16,3,3,1,8,8,8,8,18,16
mnh8,mnh8,50.0,1,1,1,10,1,1,1,1,1,1,1,1,1,36,1,22,24,1,1,1,1,1,1,5,1,1,1,1,27,32
mnh9,mnh9,50.0,1,1,1,13,1,13,9,1,9,1,1,16,1,1,35,18,1,1,10,29,36,3,1,10,1,1,1,1,32,1
mnh10,mnh10,50.0,1,34,1,1,4,1,1,1,1,7,35,30,35,39,35,31,31,7,17,35,41,7,7,17,29,29,29,29,37,44
mnh11,mnh11,50.0,1,1,1,1,2,14,1,2,1,3,1,15,1,1,19,16,16,9,12,1,1,4,4,1,15,15,15,15,1,21
mnh12,mnh12,50.0,2,1,25,2,2,24,23,2,23,2,56,37,51,1,69,25,50,2,23,54,1,2,2,23,25,25,29,33,55,73
mnh13,mnh13,50.0,1,1,1,7,4,7,7,6,25,10,62,1,56,66,56,48,48,22,25,60,71,15,15,25,31,1,33,1,62,81
mnh14,mnh14,50.0,2,1,1,2,2,2,15,6,15,9,1,1,1,1,1,1,1,13,15,26,1,9,10,15,1,1,21,1,28,34
lpsh0,lpsh0,1.0,1,1/24,1,1,1,1,5,1,5,0,17,1,19,17,17,14,14,0,5,17,22,0,0,5,1,1,1,1,17,17/23
lpsh1,lpsh1,1.0,1,27,1,16,2,1,1,2,1/8,1,28,19,28,38,28,1,1,1,10,33,39,1,1,8,19,19,23,19,0,0
lpsh2,lpsh2,1.0,1,1,1,1/20/21,1,1,1/18,1,1,1,1/29,22,1,31,1,28,1,15,19,1,1,0,5,1,0/22,22,23/24,22/25,1,1
lpsh3,lpsh3,1.0,1,1,1,1,1,1/7,1,1,1,1,1,0,1,1,18,1,0,1,1,15,1,1,1,6,0,0,0,0,16,1
lpsnh0,lpsnh0,1.0,1,1,1/22,1,1,1,1,1,1,1/2,71,54/23,71/72,79,71,68,20,3,17,75,82,2,1/2,9,25,25,46,52,71,79
lpsnh1,lpsnh1,1.0,1,44,17,1,1,15,1,1,1,1,36,18,28,27,28,1,1,1/8,1,31,41,1,1,9,20,20,18,21,33/35/28,27
lpsnh2,lpsnh2,1.0,1,1,16/15,1,3,1/13,1/10,2,1,1,28/29,14,28,1,28,23,23,1,1,28,34,1,1,1,18,18,14,14,28,32/36
lpsnh3,lpsnh3,1.0,1,1,22,4,2,4,17,1,17,6,1,1,33,1,1,29,1,8,17,1,1/35,6,6,18,1,26,27,1,1,38
lpsnh4,lpsnh4,1.0,1,1/39/44,31,1,1,1,26,1,26/27,1,39,38/31,39,39,39,1,1,9,26,39,43,1/3,7,28,33,32,36/31,37/31,39,43
lpsnh5,lpsnh5,1.0,1,32/33,1,1,1,13,12,1,11,1,40,17,40,40,40,27,24,7,11,41/42,40,1,1,11,19,19,17,17,40,40
lpsnh6,lpsnh6,1.0,1,32,20,2,1,2/19,2,1,2,18,32/34,23,43/44,32,32,1,1,16,2,32,32,16,16,2,22/26,22,22/27,23/28,32,32
lpsnh7,lpsnh7,1.0,1,1,55,1,7,1/53,1,1,1,1,1,81/83/84/58,1,93,88/90,85,86,52,1,1,93,1,8/9,1,58/59,58,80,81,1,93
lpsnh8,lpsnh8,1.0,2,1,16,2,5,15,2,2,10,2,33,18/27,33,45,33/41,2,2,2,10,33,43,9,9,10/13,22,20,24/26,18/27,33,33
lpsnh9,lpsnh9,1.0,1/3/4,1,1,3,1,14,3,1/3/4,3,3,1,1,1,44,1,24,33,12,13,39,42,7,3,13,15,1,23,1,1,1
lpsnh10,lpsnh10,1.0,1,1/35,16,2,1,2,8,1,8,2,1,15,1/31,1/34,1,27,29,7,12/13,1/30,32,2,2,8,21/22,21,23,25,1,1
lpsnh11,lpsnh11,1.0,1,25,9,3,1,3/7,6,1,6,3,29,11/15,37,26,34/35/36/29,18,9,4,6,32/31,26,3,3,6,11/13,11,11,11,33/29,26
lpsnh12,lpsnh12,1.0,1,1,1,1,1,1,1/26,16/18/14,1,1,38,27,1,1,1,1,1,1,1,1,39,1/20/21,24,1,29,29,27/30,27,34,41
lpsnh13,lpsnh13,1.0,17,1,20,16,2,1,1,2,1,9,27,20,27,27,27,25,25,7,11,27,37,7/8,7,11,20,20,23,20,27,39
lpsnh14,lpsnh14,1.0,2,58,12/14/15,4,2,11,4,2,4,5,42,12,46,55,42,34,27,4,10,45,54,5/8,9,4,22,19/22,24,12,42,54
lpsnh15,lpsnh15,1.0,12,33,13/14,1,1,1,6,1,6,1,22,13,22,31,22,18,18,1,6/8/11,24,21,2/3,2/4,10,13,13,16,13,22,21/30
lpsnh16,lpsnh16,1.0,1,1,11,2,1,2,6/8,1,8,2,36,11,39,24,33/36,23/11,11,2,8,37,24,2,2/5,8,14,14,21,11,33,24
lpsnh17,lpsnh17,1.0,2,36,20/14,2,2,2,2,7,2,12,37,33,46,36,46,34,1,2,13,37,49,8,10,2,1,1,1,31,44,36
lpsnh18,lpsnh18,1.0,1,1,1,1,1,1,1,1/2,1,3,14,6,1/14,1,1,1,10/11,4,5,13,1,3,3,1/5,6,6,6,6,14,15
lpsnh19,lpsnh19,1.0,1,1,18,3,1,3,3,1,3,8,50,1,55,61,50,26,30,10,16,50,61,8,9,3/14,20,20/22,1,23,50/52,64
lpsnh20,lpsnh20,1.0,1/2,41,1,24,2,1/23,13,2/3,14,4,41,38,44,41,41,39,39,4,22,41,41,8,8,13,37,37,37,37,41,41
lpsnh21,lpsnh21,1.0,1,1,17,13,1/2/3,11,10,1,10,7,22/24,17,1,1,1,18,17,8,10,1,1,4/5/6,4/5,10,17,17,17,17,1,1
lpsnh22,lpsnh22,1.0,1,1/31,12/13,1,1,1,1/6,2,6,1,36,1,1,31,1/38,25,27,1,7,1,31,1/3,1,7/9,1,1,1,14,35,40
lpsnh23,lpsnh23,1.0,1,39,1,1,1,1,1,1,1,1,43,8,48,39,46,31,32/31,1,1,43,39,1,3,1,12,12,17,19,43,49
lpsnh24,lpsnh24,1.0,1,1,1/35/36,1,14,1,28,1,28,1,51,34,1/52,1,1,43,42,23,31,48,54,1,1,31,39,39,39,34,1,54/55
lpsnh25,lpsnh25,1.0,1,51,16,1,2,1,10,2,10,4,1,19,42,49,1,30,30,6,10/14,40,49,4,4,13,19,19,23/24,19,1,49
lpsnh26,lpsnh26,1.0,1,1/22,1/10,1,1/3,1,5,1,5,5,1,18,1/24,1,1,19,1,5,5,1,1,5,6,5/9,1,1,13,1,1,1/26
lpsnh27,lpsnh27,1.0,1,48,18,1,3,1,1/11,1,13,6,1,18,1,1,1,40,40,9,16/15,1,45/46,6,7/8,13,18,18,18,18,1,1/47
lpsnh28,lpsnh28,1.0,1,1,14,1,1,13,1,1,1,1,1,21/27,1/41,42,1,36,32,7,12,1,1/42,4,1,10,23,23,26,21,1/38,55
lpmh0,lpmh0,1.0,1,1,42,29,5,31,0/6,5,6,0,1,50,1,1/67,1,32/0,62,22,28,1,1,9,12,0,44,44,47,43,64,1
lpmh1,lpmh1,1.0,1,83,70,0/34,0,3,23,1,0,15,86,1,86,100/93,89,0/76,81,19,0,0/85/86,0/98,10,13,0/27,0,0,1,1,88,93
lpmh2,lpmh2,1.0,1,38,1/23,22,0,20,16/17/15,2,15,15,0,1,38,50,38/43,37,37,15,18,40,45,15,15,15,27,27/29,1,0/1,41,45
lpmh3,lpmh3,1.0,1,1,1,9,1/2,9/30,27,8,27,17,0,32,1,0,51,1,35,15,27,1,0,15,15,29,32,32,32,32,0,56
lpmh4,lpmh4,1.0,1,1,1,8,7,40,8,2,8,15,1,43,66,71,1,1,1,0,8,64/61,71,15,22,0,0,0,0,0/54,1,71
lpmnh0,lpmnh0,1.0,1/2,1,26,24,1,24,12,1/6,12,1,51,43,53,57,1,44,49/47,1,19/22,1,63,8,8/10/11,17,39,39,36,29,1,66
lpmnh1,lpmnh1,1.0,1,78,1,44/46,1,8,7,1,7,7,92,1,97/83,81,94,72,71,16,40,89/91,81,7,7,42,49,49,49,1,83,81
lpmnh2,lpmnh2,1.0,2,63,47,45,9,2,2,9,2,2,63,59,68,63,64,1,1,23,43,63,74/75,12,2,39,50,50,52,57,63,69
lpmnh3,lpmnh3,1.0,1,1,34,28,8,26,20,1,20,14,49,34,49,62,60,44,45,19,23/25,49,80,14,14,20,34,34,34,43,53,61
lpmnh4,lpmnh4,1.0,35,1/75,40,8,8,8,33/23,8,24,11,1,55,62/63,1,1/62,1/57,58,19,29,1,72,12,12,29,45,45,52,45,1,68
lpmnh5,lpmnh5,1.0,1,1,1,1,7/10,1,20,6,20,1,1,62/63,1,1,80,68,69,19,22,1,85,1,17,22,49,49,58,62,1,1
lpmnh6,lpmnh6,1.0,4,88,1,32,4/5,19,16,6,16,7,47,1,76,78,47,42,43,7,18,47,83,8,7,16,33,33,35,1,47,81
lpmnh7,lpmnh7,1.0,1,1,55,1,8,51,1,25,1,48/47,74,60/61,79,82,1/76,65,1,1,1,69,1,41,45,1,57/58,57/58,59,56,74,1
lpmnh8,lpmnh8,1.0,1,1,13,2,1,2,2,1,2/7,2,33,27,40,33,40/41,13,28,2,2,33,54,2/4,2,9/11,15,18/15,19/15,25,39,62
lpmnh9,lpmnh9,1.0,1,35,23,18,6,18,13,3,14,2,33,23,33,33,33,30,31,10,14,60,33/68,2,2,14,27,27,23,23/28,33,33
lpmnh10,lpmnh10,1.0,3,67,1,16,3/5/6,3,3,3,3,7,52,22,43,1/66,43,39,1,7,14,48,62,10,10,14,24/26,24/26,22,33,50,64/65
lpmnh11,lpmnh11,1.0,2/3,1,21,3/7,3,20,17,4/6,17,7,1,24,66,70,1,55,56,7,18,59,70,7,7,17,24/27,24/27,39,49,1,70
lpmnh12,lpmnh12,1.0,49/4,1,2,48,10,3,19,8,19,13,86,52,86,86,86/90,2/78,83,15,37/40,87/88/89,86,11,11,19,72,72,52,52/74,86,86
lpmnh13,lpmnh13,1.0,1,1,1,22/8,3,21,8,3,8,16/8,43/46,25,56,66,48/49,1,42,17,20,43,59,12/14,12/15,20,30,30,32,35,43,64/65
lpmnh14,lpmnh14,1.0,3,67/69,25,21/24,3,21,16/3,7,16,3,1,26,1,58,54,48,1,14,18,49,58,10,3,16,31,32/30,29,38/40/41,1,58
lpmnh15,lpmnh15,1.0,2,65,42,41,5,1,34,5,34,1,65,58,65,65,67,59/62,59,31,36,65,68,1/8,10,38,48/51,48,52/54,55,65,68
lpmnh16,lpmnh16,1.0,1,79,58,49,7/8,47,37,6,37,24/27,79,55,79,86,79,77,1,24,37,80/81,79,24,24,42,55,55/60,62,70/71,82/79,83
lpmnh17,lpmnh17,1.0,2,1,42,39,2,2,2,8/9,2,33/2,131,52,135,137,131,65,78,35,2,131/134,137/138,31,32/2,2,45,49,51/43,52,131,139/142
lpmnh18,lpmnh18,1.0,3,1,37,34,5,31,3,4,3,3,63,60,63,70,63,61,61,3,25/26,64,70/71,9,9,13,52,52,54,57/58,63,70
lpmnh19,lpmnh19,1.0,1,61,1,26,5,25,20,1,20,1,51,27,52,59,53,1/50,1,1,24,51,54,10,1,20,33,33,34/35,49,51,57
